movie_id,keyword_id
11356,232607
3059,2487
11379,4379
4970,11857
30331,40879
28973,2109
21515,1825
11007,183126
10384,5100
10585,4290
955,514
2666,178657
14683,12425
39462,9663
30707,5565
37305,158534
36630,2983
250,1650
603,12190
6106,7605
29794,14819
21259,10617
15515,10107
13041,166467
11503,172594
22323,14707
11485,4671
18519,155529
16281,9706
35032,4344
41769,745
880,936
36606,8181
17414,10624
33519,1366
54575,10768
2000,208358
15849,10777
11331,658
10694,1930
11977,2702
14698,10937
2789,4565
9947,15285
18394,9826
78373,1415
26602,10499
13376,157690
28916,2323
69014,10183
9833,3259
18212,1664
32850,1543
70581,10562
28421,9663
19662,2336
53229,34004
4133,1601
28571,168346
4435,14636
11548,4939
36196,295
20849,195402
10872,2797
321,18035
85673,10601
47263,1454
32502,9826
8217,10183
16198,9887
884,2820
10978,5490
5689,155746
65046,187056
19155,5950
7450,9882
112,894
3780,174420
436,2150
3595,4725
27554,10085
19049,7946
271304,157392
54979,2041
26976,11612
41090,154846
11033,14819
1654,15248
19405,9713
31004,12570
8834,2564
3088,5074
7131,220652
9622,10508
27625,162636
29514,214544
1621,11411
11633,312
28994,18330
8047,1536
23378,190849
10110,11133
10034,15363
32872,11524
425,2079
10029,11221
43805,14808
36843,10483
29787,15149
9557,11095
101,4613
9438,33626
35685,572
899,33457
9689,2055
29394,15127
49815,1156
261,30
23916,6075
29451,5810
40140,1432
12129,179294
8961,226381
9739,156786
11131,6328
10856,3521
60555,15295
705,156028
10001,194161
10164,1874
23916,156198
20649,11505
26225,14708
4518,4235
10296,13042
36210,186210
17057,228429
686,226028
41780,10950
1281,1953
9873,6149
34044,6158
11452,293
11072,160607
9563,1482
1439,2122
9093,14819
13437,6220
73135,966
52735,9673
3767,34094
88875,186849
46992,9859
18990,9714
19742,161791
42528,7041
11708,2486
4421,539
406,376
18919,158690
26038,238815
11879,207268
13193,10183
17058,162645
1811,572
843,2682
9096,13072
11033,9826
25952,12405
21027,33476
38721,170749
9277,167411
711,380
11774,1009
11854,10540
10836,201956
11595,14735
804,4674
10127,9923
22076,5888
1597,5605
42254,155418
9764,4759
26517,175233
12127,2673
10945,33705
541,1335
1645,2013
11526,378
11028,417
2302,192519
31646,9663
948,2546
44026,195402
11575,205850
47288,154842
40913,33722
33518,13090
10538,12670
10996,6054
27277,187319
9671,14828
23160,3071
38223,158071
19545,161791
10110,170034
76403,1718
15209,13088
25313,1326
18215,1566
34595,162271
5729,159245
30839,2069
17589,441
10642,3616
135,5289
3111,10232
507,10183
10637,155791
3595,18525
9548,155790
20289,4967
1891,526
9093,9826
11610,155278
19738,12965
23943,9755
36647,6152
43832,33386
11013,33451
19728,2533
10285,179422
641,2671
855,4265
1882,2564
10147,603
42812,41599
57811,187056
34723,170457
931,41329
2625,220448
31511,233445
17641,2673
9540,210717
47643,725
161,159358
327,1794
6278,173893
34093,90
18569,10909
152,505
66894,10183
15762,13130
28031,2483
9552,10093
59058,203142
5550,4565
467,2326
6844,2831
69605,186923
28430,167241
18183,41607
20213,3582
9545,12355
73194,156017
21200,9937
11361,11040
9728,163652
27970,1299
4421,185454
19728,189408
12531,201484
11035,6034
13041,1715
18573,173245
14198,3202
43795,10721
1680,7671
149,14736
17889,155325
10534,208992
11884,391
11675,34079
11222,3737
30348,6898
58925,8029
7453,9951
15765,156306
25241,3528
8852,12670
66592,159951
31681,11823
11088,7155
17744,2106
98505,2548
5486,14829
1792,208513
10530,234185
8078,226178
1075,14751
24920,10093
527,3739
10105,1956
4989,9937
1809,128
8986,6593
9302,238179
19545,189228
995,1508
15121,165468
139,158558
31962,2652
576,163671
34584,11477
10278,10776
11121,10183
39222,3133
28650,12425
10156,6027
51352,15199
11045,1749
53779,1415
11649,179430
1059,233
16297,171162
11712,233
6917,3754
504,10085
10513,2080
156,895
8067,1930
468,2348
12544,210714
38880,18286
6878,15162
25001,222720
1392,187056
11176,4456
36344,3203
302,9937
9080,3278
3600,14692
28436,237012
11886,11493
41759,208162
25495,164364
18420,9748
11443,159660
2770,170813
16161,12670
48385,238597
650,542
10162,14985
31592,15071
1719,14602
4824,2106
12538,1741
39859,176745
4254,242
9647,33966
23160,4978
44297,14743
11779,9395
895,10508
12501,6917
12227,1909
165,4379
1900,2231
1879,10131
19204,612
10910,90
6961,156760
2280,170726
568,10617
4954,949
18168,828
10328,162512
424,194409
9433,3593
2202,189391
10112,1571
2163,15483
66566,187056
1359,174085
13715,570
9929,2343
1645,6148
7340,14837
884,1157
297,33626
21055,9713
10396,4918
24066,231630
31646,966
11057,1155
11041,10590
12088,378
9451,8201
2383,3593
1913,2564
3767,2900
9694,12105
42623,460
49671,1739
18702,156825
55475,190019
77434,187056
9296,4563
5503,3713
1554,10183
46702,164275
2984,12354
66918,179566
3716,164713
18913,13027
784,494
11016,34079
124304,10596
73247,964
41090,9826
1903,1595
11549,6262
10388,378
20009,726
8325,8508
9584,9276
37797,188846
876,3074
1412,572
11576,271
12140,12190
234,4924
42193,46962
44625,9826
13441,1411
26573,10125
17365,12193
27307,171749
19457,12347
2654,10738
10131,9663
778,612
18462,4458
25767,156706
2067,11440
28569,187243
2575,10103
25473,1415
4639,191507
13343,188709
25239,14624
25627,10327
4552,936
11420,1329
8428,6089
17641,392
25670,4529
161495,190012
9994,703
8963,339
6520,10982
1927,9715
10719,65
13671,156230
20348,1820
10895,10499
10029,14819
9064,157790
16427,10183
5121,1562
52440,11612
47955,6149
396,5153
11890,4427
47653,2356
31361,10873
9833,156525
194,1407
28171,9672
14703,5159
16442,1627
38880,3039
108055,1252
42232,6382
10989,13149
845,238821
8327,10183
11894,4954
11583,159868
10686,155294
33665,6844
260,236568
10411,1572
43463,195402
618,531
18801,9826
856,11214
11676,12425
27658,155700
37684,2349
27099,200129
776,931
49584,1253
9548,837
14703,3065
12309,4144
41769,172454
314,10843
11103,1453
12127,9520
45598,1891
3595,1452
18990,155730
18966,3633
15659,9826
24739,720
1885,14735
843,10818
23627,4344
36447,2983
839,4205
600,236
52263,194834
1018,2849
363,567
11417,7147
11876,1605
10345,15162
53939,1786
11718,5090
968,182536
1410,236316
9833,2564
532,9887
11132,3975
25473,18114
44465,34143
93462,11800
339,12670
28902,1930
18212,10768
23423,10183
5889,192698
32567,10084
24560,7597
31507,4948
916,15483
21159,11221
8357,161220
173,155334
990,8508
8766,6154
124304,1415
28313,7638
6373,212
294,15160
9493,168196
10467,8890
27430,7184
10464,187056
15940,4426
10029,9826
11316,2011
348,12405
8986,166462
229,235810
9451,3692
604,4565
10943,10629
23102,4381
1927,46951
16858,165419
936,159548
27725,378
11770,13042
1049,4183
8223,3739
786,15291
12518,13027
4507,2983
3396,6743
29778,3098
52633,167159
13681,1930
10971,2984
11549,189433
9873,782
12524,497
1572,6149
10484,10941
110,2863
9469,6496
32087,198423
9746,4561
28974,164636
59181,10058
17421,2766
30114,75
